Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
good,1.119312,445.3841,2360.489522,3349.361114,4486.165217
good,1.125562,447.1014,2367.148379,3040.512482,4341.189497
good,1.131812,443.094975,2373.956585,3128.954148,4619.729687
good,1.138062,409.086543,885.296984,2492.427073,3633.860633
good,1.144312,417.742018,1208.038857,2524.979748,3682.208393
good,1.150562,460.400496,1358.500127,2427.897914,3754.50963
good,1.156812,463.791567,1386.648892,2423.862263,3748.291155
good,1.163062,413.21824,1310.476161,2393.858059,3721.849093
good,1.169312,323.389661,1409.764765,2423.629136,3643.093133
good,1.175562,304.220031,1434.655399,2469.372902,3911.397906
good,1.181812,266.194116,1449.267255,2460.323002,3840.276053
good,1.188062,262.028169,1535.638337,2453.146623,3874.701257
good,1.194312,265.384013,1491.314078,2361.360569,3859.138086
good,1.200562,281.255702,1413.432526,2351.316337,3946.976646
good,1.206812,288.347135,1339.967114,2414.788126,3993.740245
good,1.213062,267.016584,1449.534926,2512.680348,4075.24814
good,1.219312,315.615513,1656.273409,2611.455002,3988.854507
good,1.225562,301.315379,1675.975507,2547.957713,3977.006488
good,1.231812,259.231581,1521.860292,2348.894855,3803.455502
good,1.238062,272.76815,1465.90749,2355.607143,3908.123509
pants,1.244312,276.27781,1492.731766,2435.292946,3881.195535
pants,1.250562,289.526607,1566.111448,2525.46067,3926.505033
pants,1.256812,361.541444,1532.929635,2484.879398,3927.712037
pants,1.263062,279.589041,1566.723296,2363.091459,3915.195839
pants,1.269312,530.313954,1454.240992,2217.393162,3935.259411
pants,1.275562,753.441986,1715.606663,2370.2811,3911.367834
pants,1.281812,445.403384,1465.468999,2479.056231,3791.919733
pants,1.288062,409.464901,1481.512649,2451.688453,3876.295594
pants,1.294312,329.949372,1482.729146,2399.431699,3494.477724
pants,1.300562,1000.02495,2266.012109,3140.975436,4365.718372
pants,1.306812,679.242061,2252.598865,3129.694237,4178.975844
pants,1.313062,927.631663,2387.332922,3260.996455,4185.166285
pants,1.319312,1049.724258,2437.621552,3319.378821,4174.332491
pants,1.325562,797.717184,2529.245034,3292.538932,4137.771271
pants,1.331812,714.192896,2694.325695,3355.272534,4091.820843
pants,1.338062,748.973142,2779.814393,3386.364514,3846.594921
pants,1.344312,813.348869,2777.759804,3451.55391,3939.113509
pants,1.350562,852.364822,2819.439756,3241.454592,3941.726843
pants,1.356812,770.574275,2934.833274,3283.009788,3652.744597
pants,1.363062,852.196374,2778.36212,3587.642015,4505.364433
pants,1.369312,917.383551,2680.99518,3560.269588,4368.325505
pants,1.375562,1244.214566,2755.312276,3510.85012,4330.618351
pants,1.381812,714.243713,2748.049446,3474.088947,4206.018322
pants,1.388062,650.090193,2722.538966,3497.024029,3836.74295
pants,1.394312,511.306802,2789.521829,3283.151056,3499.933487
pants,1.400562,277.676077,2766.60644,3015.454145,3466.990095
pants,1.406812,264.070899,2772.283926,3143.804056,3397.045384
pants,1.413062,257.822219,2758.562097,2968.556522,3428.610227
pants,1.419312,271.543025,2752.218345,3432.002784,4662.166378
pants,1.425562,378.111402,2706.575886,3401.631903,4482.03604
pants,1.431812,491.285966,2671.862994,3379.807389,4606.087003
pants,1.438062,360.178686,2667.892887,3363.500111,4907.872381
pants,1.444312,505.41235,2621.713076,3265.52413,4368.984707
pants,1.450562,585.113448,2601.905683,3241.000047,4222.015086
pants,1.456812,639.450965,2611.033876,3243.279402,4282.305072
pants,1.463062,603.260733,2632.058601,3150.086432,4350.983429
pants,1.469312,596.103522,2660.46103,3137.300308,4474.70739
pants,1.475562,596.417818,2634.758629,3064.954301,4613.024884
pants,1.481812,597.930688,2578.523517,3048.179083,4894.29766
pants,1.488062,619.598191,2487.740933,3012.360336,4478.983656
pants,1.494312,622.739241,2458.135779,2998.173889,4454.924285
pants,1.500562,539.154228,2452.633246,2985.477026,4488.436961
pants,1.506812,589.219699,2418.976979,2975.879092,4465.985367
pants,1.513062,598.466153,2349.085331,2899.907189,4459.327897
pants,1.519312,328.78268,2191.456975,2822.431425,4562.491235
pants,1.525562,329.53986,2126.777493,2856.911349,4674.981196
pants,1.531812,414.01001,2131.02263,2778.924936,4449.187882
pants,1.538062,392.597418,2116.708483,2879.515451,4889.890987
pants,1.544312,341.724991,2091.193965,2902.394149,4861.762638
pants,1.550562,385.752437,2078.836066,2853.404218,4868.010516
pants,1.556812,320.151054,2084.90029,2799.535482,4452.931572
pants,1.563062,288.923217,2132.753729,2725.423843,4463.326192
pants,1.569312,330.108695,2166.205985,2775.019526,4616.165243
pants,1.575562,327.396229,2211.668539,2813.736804,4639.611401
pants,1.581812,298.086527,2139.99613,2784.267187,4505.716083
pants,1.588062,392.145361,2184.322337,2928.923369,4508.608935
pants,1.594312,441.66424,2261.164592,2884.337207,4449.582899
pants,1.600562,379.238422,2383.635318,3181.501757,5143.469445
pants,1.606812,282.834404,762.306767,2385.329671,3189.2401
pants,1.613062,282.15898,2129.98537,2853.66852,5248.000388
pants,1.619312,247.152281,1987.843415,2723.50359,4532.956976
